files_num,best_flair_images,best_t1w_images,best_t1wce_images,best_t2w_images
532,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00532/FLAIR/Image-73.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00532/T1w/Image-18.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00532/T1wCE/Image-50.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00532/T2w/Image-328.dcm
356,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00356/FLAIR/Image-30.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00356/T1w/Image-112.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00356/T1wCE/Image-104.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00356/T2w/Image-35.dcm
491,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00491/FLAIR/Image-123.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00491/T1w/Image-18.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00491/T1wCE/Image-178.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00491/T2w/Image-181.dcm
214,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00214/FLAIR/Image-19.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00214/T1w/Image-19.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00214/T1wCE/Image-19.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00214/T2w/Image-21.dcm
481,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00481/FLAIR/Image-72.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00481/T1w/Image-18.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00481/T1wCE/Image-48.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00481/T2w/Image-195.dcm
459,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00459/FLAIR/Image-14.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00459/T1w/Image-10.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00459/T1wCE/Image-10.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00459/T2w/Image-10.dcm
772,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00772/FLAIR/Image-128.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00772/T1w/Image-94.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00772/T1wCE/Image-93.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00772/T2w/Image-188.dcm
185,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00185/FLAIR/Image-37.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00185/T1w/Image-120.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00185/T1wCE/Image-112.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00185/T2w/Image-36.dcm
197,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00197/FLAIR/Image-26.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00197/T1w/Image-90.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00197/T1wCE/Image-100.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00197/T2w/Image-36.dcm
728,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00728/FLAIR/Image-140.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00728/T1w/Image-209.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00728/T1wCE/Image-213.dcm,../input/rsna-miccai-brain-tumor-radiogenomic-classification/train/00728/T2w/Image-104.dcm
